"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","P6016","P6020","P6030S1","P6030S3","Edad_","P6050","P6070","P6081","P6081S1","P6083","P6083S1","P6071","P6071S1","P6090","P6140","P6150","P6100","P6110","P6120","P6125","P6160","P6170","P6175","P6210","P6210S1","P6220","P6269","CLASE","ESC","MES","DPTO","fex_c_2011","AREA","P6080","P6080S1","INGLABO"
5105378,1,2,1,10,2,1,6,1958,61,3,4,3,,1,1,,,1,,,1,1,128000,2,1,2,,6,5,4,,1,16,1,5,"995,701573553396",5,6," ",3200000
5105380,1,1,1,10,1,2,10,1971,48,1,4,3,,2,,,,1,,,1,1,66000,2,1,2,,5,11,2,,1,11,1,5,"968,872451707863",5,6," ",3000000
5105382,1,1,1,10,1,1,12,1962,57,1,3,2,,2,,1,2,1,,,1,3,99000,2,1,2,,4,8,,,1,8,1,5,"1053,60861476464",5,6," ",1000000
5105383,1,1,1,10,1,1,7,1969,50,1,6,3,,2,,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1191,90026481073",5,6," ",1500000
5105384,1,1,1,10,1,1,7,1957,62,1,2,3,,2,,1,2,1,,,1,5,,2,1,2,,6,5,4,,1,16,1,5,"1033,65838820237",5,6," ",1600000
5105385,1,1,1,10,1,2,2,1968,51,1,3,2,,2,,1,2,1,,,1,3,160000,2,1,2,,6,7,5,,1,18,1,5,"1106,81847674963",5,6," ",1800000
5105385,1,2,1,10,2,1,8,1967,52,2,3,2,,3,,1,1,1,,,1,1,136000,2,1,2,,6,5,4,,1,16,1,5,"1106,81847674963",5,6," ",3400000
5105386,1,1,1,10,1,2,10,1981,38,1,4,2,,2,,,,1,,,1,1,33400,2,1,2,,5,11,2,,1,11,1,5,"968,872451707863",5,6," ",828116
5105387,1,1,1,10,1,1,2,1985,34,1,3,2,,2,,1,2,1,,,2,1,80000,1,1,2,,6,5,4,,1,16,1,5,"1561,17684120514",5,6," ",2050000
5105388,1,1,1,10,1,2,4,1967,52,1,6,2,,2,,,,1,,,1,3,108000,2,1,2,,6,3,3,,1,14,1,5,"1021,73668868854",5,6," ",2500000
5105388,1,2,1,10,2,2,9,1972,47,5,6,2,,2,,,,1,,,1,3,108000,2,1,2,,6,4,2,2,1,15,1,5,"1021,73668868854",5,6," ",2500000
5105388,1,3,1,10,3,1,12,1981,38,5,6,2,,2,,,,1,,,1,3,125000,2,1,2,,6,5,4,,1,16,1,5,"1021,73668868854",5,6," ",3000000
5105389,1,1,1,10,1,1,4,1996,23,1,2,3,,2,,1,2,1,,,1,1,40000,2,1,2,,6,1,3,,1,12,1,5,"1191,37431692797",5,6," ",900000
5105391,1,3,1,10,3,1,4,1976,43,3,2,1,1,1,2,1,4,1,,,1,1,560000,2,1,2,,6,10,5,,1,21,1,5,"949,102548024036",5,6," ",14000000
5105391,1,4,1,10,3,2,8,1982,37,5,2,2,,2,,1,3,1,,,1,5,,2,1,2,,6,6,5,,1,17,1,5,"949,102548024036",5,6," ",3000000
5105392,1,1,1,10,1,1,8,1980,39,1,2,3,,2,,1,2,1,,,1,1,45000,2,1,2,,5,11,2,,1,11,1,5,"1718,82086036183",5,6," ",1200000
5105393,1,1,1,10,1,2,9,1959,60,1,3,3,,3,,1,2,1,,,1,5,,2,2,2,,1,0,,,1,0,1,5,"1072,66709861687",5,6," ",500000
5105393,1,2,1,10,2,1,5,1951,68,2,3,3,,3,,1,1,1,,,1,5,,2,1,2,,3,5,,,1,5,1,5,"1072,66709861687",5,6," ",1300000
5105393,1,3,1,10,3,1,6,1989,30,3,6,1,2,1,1,,,1,,,3,,,2,1,2,,4,7,,,1,7,1,5,"1072,66709861687",5,6," ",900000
5105393,1,4,1,10,4,1,11,1993,26,3,6,1,2,1,1,,,1,,,1,1,36000,2,1,2,,3,5,,,1,5,1,5,"1072,66709861687",5,6," ",918000
5105398,1,1,1,10,1,2,8,1964,55,1,4,2,,3,,,,1,,,3,,,2,1,2,,1,0,,,1,0,1,5,"1086,3423023046",5,6," ",500000
5105398,1,3,1,10,3,1,10,2001,18,3,6,2,,1,1,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,5,"1086,3423023046",5,6," ",35000
5105398,1,4,1,10,4,1,6,1983,36,3,4,3,,1,1,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1086,3423023046",5,6," ",850000
5105399,1,1,1,10,1,1,8,1964,55,1,3,3,,2,,1,2,1,,,1,1,33125,2,1,2,,3,5,,,1,5,1,5,"954,671300137372",5,6," ",980000
5105401,1,2,1,10,2,1,3,1969,50,2,3,2,,2,,1,1,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1491,64167813407",5,6," ",900000
5105402,1,1,1,10,3,2,11,1990,29,1,3,2,,2,,1,2,1,,,1,1,100000,2,1,1,1,6,5,4,,1,16,1,5,"1007,3552142396",5,6," ",2900000
5105402,1,2,1,10,3,1,,,39,2,3,2,,2,,1,1,1,,,1,1,160000,2,1,2,,6,10,4,,1,21,1,5,"1007,3552142396",5,6," ",4000000
5105403,1,1,1,10,1,2,7,1981,38,1,2,2,,2,,1,2,1,,,1,4,,1,1,2,,3,5,,,1,5,1,5,"2061,83560800013",5,6," ",1128116
5105403,1,3,1,10,3,1,2,1999,20,3,6,2,,1,1,,,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,5,"2061,83560800013",5,6," ",828116
5105403,1,8,1,10,8,2,3,2001,18,3,4,2,,1,1,,,1,,,1,1,42000,2,1,2,,5,11,2,,1,11,1,5,"2061,83560800013",5,6," ",1078000
5105404,1,1,1,10,1,1,4,1962,57,1,3,3,,3,,1,2,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,5,"1666,1369462596",5,6," ",3000000
5105404,1,2,1,10,2,2,11,1970,49,2,3,3,,3,,1,1,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,5,"1666,1369462596",5,6," ",3000000
5105405,1,1,1,10,1,1,8,1963,56,1,3,3,,2,,1,2,1,,,3,,,2,1,2,,3,2,,,1,2,1,5,"811,156522982266",5,6," ",700000
5105406,1,1,1,10,1,2,1,1956,63,1,4,3,,3,,,,1,,,1,1,33125,2,1,2,,4,6,,,1,6,1,5,"1009,90272512389",5,6," ",924000
5105407,1,1,1,10,1,2,12,1977,42,1,6,2,,2,,,,1,,,1,1,32400,2,1,2,,5,11,2,,1,11,1,5,"968,346503825103",5,6," ",828116
5105407,1,2,1,10,2,1,11,1997,22,3,6,2,,1,1,,,1,,,1,1,33400,2,1,1,1,6,0,2,2,1,11,1,5,"968,346503825103",5,6," ",828116
5105407,1,3,1,10,3,2,9,2000,19,3,6,2,,1,1,,,2,1,3,,,,2,1,2,,6,2,3,,1,13,1,5,"968,346503825103",5,6," ",100000
5105409,1,2,1,10,2,1,7,1990,29,3,6,3,,1,1,,,1,,,1,1,33000,2,1,2,,5,11,2,,1,11,1,5,"1106,29252886687",5,6," ",828000
5105409,1,3,1,10,3,1,12,1995,24,3,6,2,,1,1,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1106,29252886687",5,6," ",700000
5105410,1,1,1,10,1,2,7,1972,47,1,4,2,,2,,,,1,,,1,1,39200,2,1,2,,5,11,2,,1,11,1,5,"968,346503825103",5,6," ",1308116
5105412,1,1,1,10,1,1,4,1979,40,1,2,2,,2,,1,2,1,,,1,1,40000,2,1,2,,6,2,3,,1,13,1,5,"1491,64167813407",5,6," ",3600000
5105412,1,2,1,10,2,2,5,1987,32,2,2,2,,2,,1,1,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,5,"1491,64167813407",5,6," ",2000000
5105413,1,1,1,10,1,2,7,1974,45,1,4,3,,2,,,,1,,,1,1,33125,2,1,2,,3,5,,,1,5,1,5,"1067,80976633514",5,6," ",828116
5105414,1,1,1,10,1,1,7,1962,57,1,4,3,,3,,,,2,1,36,,,,1,1,2,,6,2,3,,1,13,1,5,"1139,2163507085",5,6," ",800000
5105415,1,3,1,10,3,1,3,1967,52,3,6,1,2,1,1,,,1,,,1,3,103600,2,1,2,,6,3,3,,1,14,1,5,"1034,18433608513",5,6," ",900000
5105416,1,3,1,10,3,1,10,1989,30,3,6,1,1,1,2,,,1,,,1,1,33125,2,1,2,,6,2,3,,1,13,1,5,"1034,18433608513",5,6," ",100000
5105417,1,2,1,10,2,2,11,1958,61,2,3,3,,1,4,1,1,2,1,1,,,,2,1,2,,3,5,,,1,5,1,5,"805,58777086893",5,6," ",350000
5105417,1,5,1,10,5,1,1,1991,28,9,6,2,,2,,,,1,,,1,3,99000,2,1,2,,6,2,3,,1,13,1,5,"805,58777086893",5,6," ",2300000
5105418,1,3,1,10,3,2,9,1983,36,3,6,1,2,1,1,,,1,,,1,1,140000,2,1,2,,6,8,5,,1,19,1,5,"910,619785492299",5,6," ",3500000
5105419,1,1,1,10,1,1,10,1962,57,1,3,2,,3,,1,2,1,,,1,1,33000,2,1,2,,3,5,,,1,5,1,5,"995,175625670635",5,6," ",1320000
5105421,1,1,1,10,1,2,5,1972,47,1,2,3,,2,,1,2,1,,,1,5,,2,1,2,,6,3,3,,1,14,1,5,"954,671300137372",5,6," ",200000
5105421,1,2,1,10,2,1,3,1947,72,2,2,3,,3,,1,1,1,,,3,,,2,1,2,,3,3,,,1,3,1,5,"954,671300137372",5,6," ",200000
5105422,1,1,1,10,1,2,5,1985,34,1,6,3,,2,,,,2,1,48,,,,1,1,2,,3,3,,,1,3,1,5,"1067,80976633514",5,6," ",600000
5105423,1,1,1,10,1,2,5,1961,58,1,5,3,,2,,,,1,,,1,2,99000,2,1,2,,4,7,,,1,7,1,5,"1309,64413844723",5,6," ",500000
5105424,1,3,1,10,3,1,2,1975,44,3,6,1,2,1,1,,,1,,,1,3,103600,2,1,2,,6,5,3,,1,16,1,5,"1034,18433608513",5,6," ",400000
5105425,1,1,1,10,1,1,8,1974,45,1,3,2,,2,,1,2,1,,,1,1,80000,2,1,2,,6,3,3,,1,14,1,5,"1392,17841562404",5,6," ",2000000
5105425,1,2,1,10,2,2,6,1980,39,2,3,3,,2,,1,1,1,,,1,1,120000,2,1,2,,5,11,2,,1,11,1,5,"1392,17841562404",5,6," ",1700000
5105426,1,4,1,10,4,2,4,1986,33,3,6,1,1,1,2,,,1,,,1,1,33000,2,1,2,,5,11,2,,1,11,1,5,"1234,46248689844",5,6," ",2000000
5105427,1,1,1,10,1,1,1,1955,64,1,3,3,,3,,1,2,1,,,1,2,99000,2,1,2,,3,5,,,1,5,1,5,"995,701573553396",5,6," ",900000
5105428,1,1,1,10,1,1,1,1979,40,1,6,2,,2,,,,1,,,1,1,150000,2,1,2,,6,3,3,,1,14,1,5,"1191,90026481073",5,6," ",2100000
5105429,1,1,1,10,1,1,9,1943,76,1,3,3,,3,,1,2,1,,,1,2,100000,2,1,2,,4,6,,,1,6,1,5,"910,619785492299",5,6," ",50000
5105429,1,3,1,10,3,2,1,1968,51,3,6,1,1,1,2,,,1,,,1,1,54000,2,1,1,2,6,4,3,,1,15,1,5,"910,619785492299",5,6," ",1351000
5105431,1,2,1,10,2,1,12,1958,61,3,4,3,,1,1,,,1,,,3,,,2,1,2,,5,10,1,,1,10,1,5,"752,197586005496",5,6," ",700000
5105431,2,1,2,10,1,2,1,1960,59,1,5,3,,2,,,,1,,,1,2,99000,2,1,2,,5,11,2,,1,11,1,5,"752,197586005496",5,6," ",80000
5105431,2,2,2,10,2,2,8,1997,22,3,6,3,,1,1,,,1,,,1,5,,2,1,2,,6,3,3,,1,14,1,5,"752,197586005496",5,6," ",900000
5105432,1,2,1,10,2,2,5,1957,62,3,6,3,,1,1,,,1,,,1,3,102000,2,1,2,,3,5,,,1,5,1,5,"890,669558930026",5,6," ",600000
5105433,1,1,1,10,1,2,11,1971,48,1,2,2,,2,,1,2,2,1,24,,,,2,1,2,,5,11,2,,1,11,1,5,"1106,81847674963",5,6," ",990000
5105433,1,2,1,10,2,1,8,1971,48,2,2,3,,2,,1,1,1,,,1,3,99000,1,1,2,,6,5,4,,1,16,1,5,"1106,81847674963",5,6," ",3500000
5105434,1,1,1,10,1,1,4,1984,35,1,2,2,,2,,1,2,1,,,1,3,103514,2,1,2,,5,11,2,,1,11,1,5,"1106,81847674963",5,6," ",900000
5105438,1,1,1,10,2,1,4,1981,38,1,3,3,,2,,1,2,1,,,1,3,108000,2,1,2,,5,11,2,,1,11,1,5,"1105,76658098411",5,6," ",2000000
5105439,1,1,1,10,1,2,10,1962,57,1,4,2,,2,,,,1,,,1,3,103600,2,1,2,,5,11,2,,1,11,1,5,"1048,38548765562",5,6," ",2000000
5105439,1,2,1,10,2,1,6,1981,38,3,6,2,,1,1,,,1,,,1,3,103600,2,1,2,,6,11,4,,1,22,1,5,"1048,38548765562",5,6," ",1200000
5105441,1,1,1,10,1,1,5,1958,61,1,3,3,,3,,1,2,1,,,1,1,40000,2,1,2,,6,5,4,,1,16,1,8,"477,534918369853",8,6," ",1800000
5105442,1,1,1,10,1,2,8,1952,67,1,5,3,,3,,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,8,"514,581283961179",8,6," ",120000
5105442,1,2,1,10,2,1,9,1981,38,3,6,3,,1,1,,,1,,,3,,,2,1,2,,6,3,3,,1,14,1,8,"514,581283961179",8,6," ",600000
5105442,1,4,1,10,3,1,11,1974,45,5,4,2,,2,,,,1,,,1,1,45000,2,1,2,,5,11,2,,1,11,1,8,"514,581283961179",8,6," ",120000
5105443,1,2,1,10,2,2,6,1980,39,2,3,2,,3,,1,1,1,,,2,5,,2,1,2,,5,11,2,,1,11,1,8,"709,732842690554",8,6," ",500000
5105444,1,2,1,10,2,1,5,2000,19,3,6,2,,1,1,,,1,,,1,1,36000,2,1,2,,5,11,2,,1,11,1,8,"502,852715535242",8,6," ",1800000
5105446,1,1,1,10,1,1,4,1970,49,1,3,2,,3,,1,2,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,8,"675,226402135795",8,1,"800_02",1600000
5105446,1,2,1,10,2,2,10,1973,46,2,3,2,,2,,1,1,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,8,"675,226402135795",8,6," ",300000
5105446,1,3,1,10,3,1,5,1992,27,3,6,1,1,1,2,,,1,,,1,1,98,2,1,2,,6,3,2,2,1,14,1,8,"675,226402135795",8,6," ",2000000
5105447,1,3,1,10,4,2,8,1978,41,3,6,1,1,1,2,,,1,,,1,1,33600,2,1,2,,6,2,3,,1,13,1,8,"640,673541753488",8,6," ",830000
5105447,1,4,1,10,4,2,1,1981,38,3,2,1,1,1,2,1,5,1,,,3,,,2,1,2,,5,11,2,,1,11,1,8,"640,673541753488",8,6," ",500000
5105447,1,5,1,10,4,1,10,1972,47,5,2,2,,3,,1,4,1,,,3,,,2,1,2,,6,2,3,,1,13,1,8,"640,673541753488",8,6," ",1500000
5105448,1,1,1,10,1,1,9,1949,70,1,5,3,,3,,,,1,,,1,2,140000,2,1,2,,5,11,2,,1,11,1,8,"578,513847604475",8,6," ",200000
5105449,1,1,1,10,1,1,2,1974,45,1,3,2,,3,,1,2,1,,,1,1,98,2,1,2,,6,5,4,,1,16,1,8,"637,838780475831",8,6," ",1500000
5105450,1,1,1,10,1,1,10,1988,31,1,3,2,,2,,1,2,1,,,1,1,60000,2,1,2,,6,5,4,,1,16,1,8,"640,335539916172",8,6," ",1500000
5105450,1,2,1,10,2,2,7,1991,28,2,3,3,,2,,1,1,1,,,1,1,87000,2,1,2,,6,7,5,,1,18,1,8,"640,335539916172",8,6," ",2200000
5105451,1,1,1,10,1,1,1,1980,39,1,2,2,,3,,1,2,1,,,1,5,,2,1,2,,4,9,,,1,9,1,8,"629,612101643148",8,6," ",900000
5105451,1,2,1,10,2,2,5,1981,38,2,2,2,,2,,1,1,1,,,1,1,98,2,1,2,,6,2,3,,1,13,1,8,"629,612101643148",8,6," ",1000000
5105452,1,2,1,10,2,1,5,1970,49,3,6,3,,1,1,,,1,,,1,3,106000,2,1,2,,6,6,2,2,1,17,1,8,"541,785374158598",8,6," ",2000000
5105453,1,1,1,10,1,2,9,1976,43,1,6,3,,2,,,,1,,,1,1,98,2,1,2,,6,5,4,,1,16,1,8,"527,676724061388",8,6," ",1027000
5105454,1,1,1,10,1,2,9,1982,37,1,4,2,,1,4,,,1,,,1,3,198000,2,1,1,1,6,9,5,,1,20,1,8,"559,803082944873",8,6," ",2000000
5105455,1,1,1,10,1,2,10,1986,33,1,6,2,,2,,,,1,,,1,1,56000,2,1,2,,6,5,4,,1,16,1,8,"555,837262605944",8,6," ",1800000
5105455,2,1,2,10,1,2,8,1995,24,1,6,2,,2,,,,1,,,1,1,80000,2,1,2,,6,5,4,,1,16,1,8,"555,837262605944",8,6," ",2000000
5105456,1,1,1,10,1,2,12,1985,34,1,4,2,,3,,,,1,,,1,1,126000,2,1,2,,6,8,5,,1,19,1,8,"541,736692352823",8,6," ",4000000
5105457,1,1,1,10,1,1,4,1938,81,1,5,3,,3,,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,13,"415,105073113352",13,5," ",300000
5105458,1,2,1,10,2,2,1,1973,46,2,2,2,,3,,1,1,1,,,3,,,2,1,2,,4,8,,,1,8,1,13,"355,902260187451",13,5," ",580000
5105458,1,3,1,10,2,2,4,1987,32,3,4,1,1,1,2,,,1,,,1,1,33125,2,1,2,,6,2,3,,1,13,1,13,"355,902260187451",13,5," ",828116
5105461,1,1,1,10,1,1,10,1994,25,1,2,2,,2,,1,2,1,,,3,,,2,1,2,,5,11,2,,1,11,1,13,"421,497168397804",13,5," ",700000
5105461,1,2,1,10,2,2,4,1996,23,2,2,2,,2,,1,1,1,,,3,,,2,1,2,,6,2,3,,1,13,1,13,"421,497168397804",13,5," ",700000
5105463,1,2,1,10,2,2,3,1981,38,3,4,2,,1,1,,,1,,,1,1,60000,2,1,2,,6,5,4,,1,16,1,13,"319,891954025625",13,6," ",1500000
5105464,1,1,1,10,2,1,9,1972,47,1,2,2,,2,,1,2,1,,,1,1,100000,2,1,2,,6,5,4,,1,16,1,13,"357,951681961147",13,6," ",2500000
5105464,1,2,1,10,2,2,7,1974,45,2,2,2,,2,,1,1,1,,,1,5,,2,1,2,,6,2,3,,1,13,1,13,"357,951681961147",13,6," ",850000
5105465,1,1,1,10,1,2,11,1954,65,1,4,3,,3,,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,13,"356,884983930018",13,6," ",300000
5105466,1,1,1,10,1,1,2,1955,64,1,3,3,,3,,1,2,1,,,2,1,112000,2,1,2,,6,5,4,,1,16,1,13,"398,172716239264",13,6," ",2800000
5105466,1,2,1,10,2,2,2,1958,61,2,3,3,,2,,1,1,1,,,1,1,72000,2,1,2,,6,3,3,,1,14,1,13,"398,172716239264",13,6," ",1800000
5105467,1,1,1,10,1,2,8,1970,49,1,4,2,,2,,,,1,,,1,1,56000,2,1,2,,6,3,3,,1,14,1,13,"351,607557782598",13,6," ",1400000
5105468,1,1,1,10,2,1,9,1972,47,1,2,2,,1,2,2,,1,,,1,1,64000,2,1,2,,6,5,4,,1,16,1,13,"390,366388233135",13,6," ",1600000
5105470,1,1,1,10,1,1,3,1974,45,1,2,3,,3,,1,2,1,,,3,,,2,1,2,,4,8,,,1,8,1,15,"162,757690805125",15,6," ",
5105470,1,2,1,10,2,2,12,1974,45,2,2,2,,3,,1,1,1,,,3,,,2,1,2,,4,8,,,1,8,1,15,"162,757690805125",15,6," ",
5105471,1,1,1,10,1,1,11,1979,40,1,2,3,,2,,1,2,1,,,3,,,2,2,2,,1,0,,,1,0,1,15,"149,790544793874",15,6," ",400000
5105471,1,2,1,10,2,2,8,1975,44,2,2,3,,2,,1,1,1,,,3,,,2,1,2,,4,6,,,1,6,1,15,"149,790544793874",15,6," ",100000
5105472,1,1,1,10,1,1,12,1950,69,1,3,3,,3,,1,2,1,,,3,,,2,1,2,,3,5,,,1,5,1,15,"64,2080078125012",15,6," ",1100000
5105472,1,3,1,10,3,2,1,1978,42,3,6,1,1,1,2,,,1,,,1,1,34000,2,1,2,,5,11,2,,1,11,1,15,"64,2080078125012",15,6," ",828116
5105472,1,5,1,10,5,2,2,1998,21,4,6,2,,1,3,,,1,,,3,,,2,1,1,2,5,10,1,,1,10,1,15,"64,2080078125012",15,6," ",400000
5105472,1,6,1,10,6,2,5,1999,20,4,6,2,,1,3,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,15,"64,2080078125012",15,6," ",1000000
5105472,1,8,1,10,8,2,3,1979,40,3,6,1,1,1,2,,,1,,,1,1,34000,2,1,2,,5,11,2,,1,11,1,15,"64,2080078125012",15,6," ",828116
5105472,1,11,1,10,11,2,1,1981,38,3,6,1,1,1,2,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,15,"64,2080078125012",15,6," ",390000
5105472,1,14,1,10,14,2,3,1992,27,3,6,1,1,1,2,,,1,,,1,1,34000,2,1,1,2,6,4,2,2,1,15,1,15,"64,2080078125012",15,6," ",920000
5105473,1,1,1,10,1,1,12,1974,45,1,3,2,,2,,1,2,1,,,1,1,44000,2,1,2,,5,11,2,,1,11,1,15,"170,321412922752",15,6," ",1100000
5105474,1,1,1,10,1,1,4,1952,67,1,2,3,,3,,1,2,1,,,3,,,2,1,2,,5,11,2,,1,11,1,15,"100,086291979492",15,6," ",600000
5105475,1,1,1,10,1,2,7,1967,52,1,5,3,,3,,,,1,,,3,,,2,1,2,,4,6,,,1,6,1,15,"88,5766843351605",15,6," ",500000
5105475,1,2,1,10,2,1,4,2000,19,3,6,3,,1,1,,,1,,,3,,,2,1,1,1,6,3,2,2,1,14,1,15,"88,5766843351605",15,6," ",600000
5105477,1,1,1,10,1,1,3,1959,60,1,2,3,,3,,1,2,1,,,1,3,103600,2,1,2,,6,3,2,2,1,14,1,15,"113,412026844511",15,6," ",2000000
5105477,1,2,1,10,2,2,9,1969,50,2,2,3,,2,,1,1,1,,,2,1,120000,2,1,2,,6,6,5,,1,17,1,15,"113,412026844511",15,6," ",3000000
5105478,1,1,1,10,1,2,4,1961,58,1,4,3,,1,5,,,1,,,1,2,99300,2,1,2,,5,11,2,,1,11,1,15,"64,2080078125012",15,6," ",2000000
5105478,1,4,1,10,4,2,1,1992,27,3,6,2,,1,1,,,1,,,3,,,2,1,2,,6,6,5,,1,17,1,15,"64,2080078125012",15,6," ",800000
5105478,1,6,1,10,6,1,10,1957,62,5,4,3,,1,5,,,1,,,3,,,2,1,2,,4,7,,,1,7,1,15,"64,2080078125012",15,6," ",1000000
5105480,1,1,1,10,1,1,6,1979,40,1,2,3,,3,,1,2,1,,,2,1,80000,2,1,2,,6,7,5,,1,18,1,15,"188,323727631235",15,6," ",2000000
5105480,1,5,1,10,5,1,1,1968,52,5,6,3,,3,,,,1,,,1,3,103500,2,1,2,,3,4,,,1,4,1,15,"188,323727631235",15,6," ",1000000
5105481,1,1,1,10,1,1,10,1986,33,1,2,2,,2,,1,2,1,,,2,1,80000,2,1,2,,6,3,3,,1,14,1,15,"118,627604745249",15,6," ",2000000
5105481,1,2,1,10,2,2,11,1987,32,2,2,2,,2,,1,1,1,,,1,1,60000,2,1,2,,6,7,5,,1,18,1,15,"118,627604745249",15,6," ",1500000
5105482,1,1,1,10,1,1,1,1989,30,1,3,2,,2,,1,2,1,,,1,5,,2,1,2,,6,1,3,,1,12,1,15,"155,193968687498",15,6," ",3000000
5105483,1,1,1,10,1,1,9,1989,30,1,3,2,,3,,1,2,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,15,"168,904879140893",15,6," ",1000000
5105483,1,2,1,10,2,2,5,1985,34,2,3,2,,3,,1,1,1,,,1,3,112000,2,1,2,,3,5,,,1,5,1,15,"168,904879140893",15,6," ",1000000
5105484,1,1,1,10,1,2,9,1960,59,1,3,3,,3,,1,2,1,,,1,1,100000,2,1,2,,6,5,4,,1,16,1,15,"155,971607814233",15,6," ",2500000
5105485,1,2,1,10,2,1,4,1995,24,3,6,2,,1,1,,,1,,,1,1,33100,1,1,2,,5,11,2,,1,11,1,15,"96,7834519081772",15,6," ",828100
5105486,1,1,1,10,1,2,8,1984,35,1,6,2,,2,,,,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,15,"125,143048277409",15,6," ",700000
5105487,1,1,1,10,1,1,10,1940,79,1,3,3,,3,,1,2,1,,,1,5,,2,1,2,,3,5,,,1,5,1,15,"90,4558543689029",15,6," ",
5105487,1,2,1,10,2,2,11,1943,76,2,3,3,,3,,1,1,1,,,1,3,103000,2,1,2,,4,8,,,1,8,1,15,"90,4558543689029",15,6," ",900000
5105488,1,3,1,10,3,2,2,1984,35,3,6,1,1,1,2,,,1,,,3,,,2,1,2,,6,5,4,,1,16,1,15,"64,2080078125012",15,6," ",230000
5105489,1,1,1,10,1,1,2,1987,32,1,2,2,,2,,1,2,1,,,3,,,2,1,2,,5,11,2,,1,11,1,15,"155,937733129642",15,6," ",900000
5105490,1,1,1,10,1,1,11,1961,58,1,4,3,,3,,,,1,,,1,1,44000,2,1,2,,6,5,4,,1,16,1,15,"120,243122736577",15,6," ",1100000
5105491,1,1,1,10,1,1,3,1982,37,1,3,3,,2,,1,2,1,,,1,1,120000,2,1,2,,6,9,5,,1,20,1,15,"149,790544793874",15,6," ",3000000
5105492,1,5,1,10,5,1,5,1979,40,3,6,1,1,1,2,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,15,"117,977571873542",15,6," ",1200000
5105494,1,1,1,10,1,2,3,1941,78,1,6,3,,3,,,,1,,,1,2,270000,2,1,2,,6,2,3,,1,13,1,15,"107,415523827924",15,6," ",200000
5105495,1,2,1,10,2,1,7,1981,38,2,3,2,,2,,1,1,1,,,1,1,48000,2,1,2,,6,2,3,,1,13,1,15,"129,259676664996",15,6," ",1200000
5105496,1,1,1,10,1,1,5,1987,32,1,6,2,,2,,,,1,,,1,1,33100,2,1,2,,5,11,2,,1,11,1,15,"147,834864115345",15,6," ",828116
5105497,1,1,1,10,1,1,2,1963,56,1,3,3,,2,,1,2,1,,,2,5,,2,1,2,,6,7,5,,1,18,1,15,"106,501838913802",15,6," ",2500000
5105497,1,2,1,10,2,2,7,1964,55,2,3,3,,2,,1,1,1,,,2,1,156000,2,1,2,,6,7,5,,1,18,1,15,"106,501838913802",15,6," ",3900000
5105499,1,1,1,10,1,1,10,1964,55,1,2,2,,2,,1,2,1,,,1,1,160000,2,1,2,,6,6,5,,1,17,1,15,"90,4558543689029",15,6," ",4000000
5105500,1,1,1,10,1,1,9,1989,30,1,6,2,,2,,,,2,1,3,,,,2,1,2,,6,6,4,,1,17,1,15,"147,834864115345",15,6," ",800000
5105501,1,1,1,10,1,1,12,1984,35,1,3,2,,2,,2,,1,,,2,1,88000,2,1,2,,6,2,3,,1,13,1,15,"147,834864115345",15,6," ",2250000
5105503,1,1,1,10,1,1,8,1992,27,1,6,2,,2,,,,2,1,4,,,,1,1,2,,6,5,4,,1,16,1,15,"147,834864115345",15,6," ",1050000
5105504,1,1,1,10,1,1,9,1966,53,1,3,3,,3,,1,2,1,,,1,1,98,2,1,2,,5,11,2,,1,11,1,15,"153,512428782912",15,6," ",828116
5105505,1,1,1,10,1,1,7,1964,55,1,3,3,,3,,1,2,1,,,1,3,113514,2,1,2,,6,7,5,,1,18,1,15,"101,667935286228",15,6," ",2000000
5105505,1,3,1,10,3,1,4,1994,25,3,6,1,1,1,2,,,1,,,1,1,112000,2,1,2,,6,7,5,,1,18,1,15,"101,667935286228",15,6," ",2800000
5105505,1,4,1,10,4,1,7,1995,24,3,6,1,1,1,2,,,1,,,1,5,,2,1,2,,6,5,4,,1,16,1,15,"101,667935286228",15,6," ",900000
5105506,1,1,1,10,1,2,11,1986,33,1,4,2,,2,,,,1,,,1,1,80000,2,1,2,,6,9,5,,1,20,1,15,"130,371696303532",15,6," ",2000000
